name,raw_review,date
Otilio Davini,"Liberação para efetuar pagamentos pelo app é ruim, se vc não conseguir com o SMS que te enviam a primeira vez, praticamente vc terá que desinstalar o app e instalar novamente para conseguir. Quando vc solicita aumento de limite de pagamento pelo app fica a pendência para liberar no caixa eletrônico. Chegando até o caixa eletrônico e realizando os procedimentos necessários para liberação é gerado a mensagem de nenhuma liberacao pendente.",27 de janeiro de 2020
Irapuan Braga,"O sistema BB Code, quando funciona, é bom. Mas quando se tem algum problema no celular ou no computador que requer a atualização ou reinstalação do sistema operacional, é um inferno, para os aplicativos voltarem a fazer transações financeiras! As orientações não levam a resultados satisfatórios, e o atendimento não está preparado para resolver os casos menos corriqueiros. Está difícil conviver com app BB Code!",20 de janeiro de 2020
Allan,"App é bem interativo, te dá bastante opções de transações. Há uma facilidade boa para se achar nas opções. Mas infelizmente conta com bugs em certas sessões como em trabalhar com os limites, desde transferências e até clareza na disponibilidades deles. BB Crediário é o mais complexo e difícil de se lidar e compreender. Mas mesmo precisando de melhoras, ainda consegue ser um dos melhores apps de bancos (sem contar os das finthechs).",10 de janeiro de 2020
Diego Santos,"Excelente! Tenho algumas sugestões de melhoria: as notificações de chegada dos boletos via DDA poderiam conter mais informações, como o valor do boleto que chegou, quem emitiu e a data de vencimento; Poderia ter uma opção para o cadastro do Renavam do veículo para não ter que ficar digitando o mesmo número toda vez que deseja fazer uma transação; Possibilidade de agendamento das taxas do Detran para SP, visto que só dá para fazer o pagamento no dia.",26 de janeiro de 2020
Mateus Jiandotti Gonçalves,"Bom dia, já tem muito tempo que uso o app do Banco do Brasil, porém tem uma coisa que me deixa muito insatisfeito, quando vou pagar um boleto, o app deixa o boleto pra pagar na data de vencimento, sendo nescessário mudar toda vez que for realizar um pagamento, isso encomoda muito pra quem paga muitos boletos, a data específica do pagamento deveria ser a data atual do pagamento, e quem quiser mudar pra outra que mude.",23 de janeiro de 2020
Sergio Augusto Fanchioti Loureiro,"App travou há 02 dias, e tive que desinstalar. Ao reinstalar, tentei liberar o BB Code para realização de operações pelo internet banking sem sucesso. Ao ler o QR code, não recebo o código para concluir a 1° etapa, embora no app já apareça orientação de ir até o caixa eletrônico para concluir a liberação. No caixa eletrônico o app não reconhece o QR code apresentado na tela, como se não fosse do Banco do Brasil. Entrei em contato via telefone, mas nada resolvido, apesar do bom atendimento.",24 de janeiro de 2020
Vanderlei Ortencio,"O inicio foi tranquilo. Facilidade para baixar, instalar e iniciar o uso. Então fui na agência para desbloqueio pelo caixa eletrônico, e foi um fiasco irritante. Chamei a funcionária pra ajudar, ela se bateu também e não conseguimos resolver. Na tela do caixa, apresenta qr code pra ler pelo aplicativo. Além de não ser claro onde encontrar a função, a moça sabia, acionamos e nada. Mensagens confusas. Apliquei 10,00 na poupança pra ter operação financeira. Mas o qr code nada. Estou decepcionado.",20 de janeiro de 2020
Lúcio Silva,"Muito bom. Uma agência na palma da mão. De tudo um pouco. Evitando filas e esperas desnecessarias. Já uso um tempo e dá para contar as vezes que precisei e tava com problemas. Menus bem distribuídos para cada ação... Pagamentos, extratos, saldos, transferências, simulações de empréstimos, contracheques e etc. No início pode não ser intuitivo, mas com o uso se torna uma ótima ferramenta.",10 de janeiro de 2020
Paulo Júnior,"O App do Banco do Brasil é excelente! É necessário avaliar a qualidade dos detalhes, dos serviços e em sua estrutura geral que o App fornece! Porém, em algumas vezes há bugs, mas não é algo que acontece sempre, mas em Geral é de ficar satisfeito pela estrutura fornecida pelo App. O App do Banco do Brasil é com exata certeza um App que muito facilita a vida de não estar sempre indo à uma agência Física. Excelente!!!",22 de janeiro de 2020
Renato Batista,"Aplicativo esteticamente agradável, mas só esteticamente mesmo, pois é bastante lento, as informações são difíceis de serem encontradas, como por exemplo os lançamentos futuros, e se vc procurar alguma informação detalhada, esqueça. Quase nada se resolve pelo aplicativo em termos de problemas com a conta, todos os problemas que eu tive me mandaram ir até minha agência q por sinal também é péssima. Enorme filas, muita demora para ser atendido e nada resolvido.",11 de janeiro de 2020
